question_id,domain,condition,question,context_chars,tokens_in_context_est,context_files,cores_used,answer,latency_ms,tokens_in,tokens_out,model,accuracy,hallucination,completeness,reasoning,judge_notes
OL01,personal,A,How does Oiloop store user preferences and chat history?,400000,100000,App/AppRootView.swift;App/AppWindowActivation.swift;App/ChatExperienceView.swift;App/ConnectorPreviewSheet.swift;App/ContentView.swift;App/DiagnosticsDashboardView.swift;App/FilePreviewSheet.swift;App/FileWritePreviewSheet.swift;App/FloatingHUDView.swift;App/GestureCalibrationView.swift;App/GlobalShortcutManager.swift;App/GraphCanvasView.swift;App/GraphExplorerView.swift;App/InlineHUDPanel.swift;App/KeyboardMousePreviewSheet.swift;App/LCSDiff.swift;App/LaunchAtLogin.swift;App/LivePreviewPaneView.swift;App/MailDraftPreviewSheet.swift;App/MailInboxPreviewSheet.swift;App/MessagesChatsPreviewSheet.swift;App/MessagesDraftPreviewSheet.swift;App/NotesCreatePreviewSheet.swift;App/NotesListPreviewSheet.swift;App/OiloopApp.swift;App/OnboardingSettings.swift;App/OnboardingView.swift;App/PlanExecutionMonitorView.swift;App/PresenceSettings.swift;App/PreviewGestureShortcuts.swift;App/RemindersCreatePreviewSheet.swift;App/RemindersListPreviewSheet.swift;App/SafariTabPreviewSheet.swift;App/ScreenshotPreviewSheet.swift;App/SettingsView.swift;App/ShellPreviewSheet.swift;App/TerminalPanel.swift;App/UsageAnalyticsDashboardView.swift;App/WritingToolsHUDView.swift;Core/LLM/FIMCompletionClient.swift;Core/LLM/GeminiLLMClient.swift;Core/LLM/LLMClient.swift;Core/LLM/LocalLLMSettings.swift;Core/LLM/MockLLMClient.swift;Core/LLM/OllamaLLMClient.swift;Core/LLM/OpenAILLMClient.swift;Core/Memory/DatabaseSettings.swift;Core/Memory/EpisodeSummarizer.swift;Core/Memory/EpisodicMemoryManager.swift;Core/Memory/LocalEmbeddingsService.swift;Core/Memory/MemoryStore.swift;Core/Memory/Models.swift;Core/Memory/ScreenContextModels.swift;Core/Memory/SemanticIndexManager.swift;Core/Memory/SymbolicParser.swift;Core/Memory/TimelineModels.swift;Core/Memory/UserDataService.swift;Core/Orchestrator/AgentCriticService.swift;Core/Orchestrator/AgentLoopModels.swift;Core/Orchestrator/AgentTaskModels.swift;Core/Orchestrator/ChatOrchestrator.swift (partial),,"Oiloop stores user preferences and chat history using the following methods:

- **User Preferences:**
  - Stored in a SQLite database via the `MemoryStore` class.
  - Preferences are loaded and saved using the `DatabaseSettings` struct, which handles encoding and decoding of settings to and from JSON.
  - Specific settings like `PresenceSettings`, `LocalLLMSettings`, and others are managed through dedicated structs that define their properties and provide methods for loading and saving.

- **Chat History:**
  - Chat messages are stored in the SQLite database within the `messages` table.
  - Each message is associated with a session and includes details such as the message role (user, assistant, system), content, and timestamp.
  - The `ChatOrchestrator` class manages the retrieval and storage of chat messages, ensuring they are appended to the history as conversations progress.

Overall, Oiloop utilizes a combination of SQLite for persistent storage and structured data models to manage user preferences and chat history effectively.",3614,76662,204,gpt-4o-mini,1,true,1,3,Candidate provides some correct information but introduces inaccuracies and lacks details on local storage and wipe functionality.
OL01,personal,B,How does Oiloop store user preferences and chat history?,33945,8487,context-os/cores/personal-core.md;Core/Memory/MemoryStore.swift (structure);Core/Persona/PersonaSettings.swift (structure);Core/Memory/UserDataService.swift (structure);Core/Memory/EpisodeSummarizer.swift (structure);Core/Orchestrator/ChatOrchestrator.swift (structure),personal-core,"Oiloop stores user preferences and chat history using the following mechanisms:

- **User Preferences**:
  - Managed by the `PersonaSettings` entity, which includes fields for:
    - Assistant display name
    - User preferred name
    - Tone preset
    - Other configuration settings related to user preferences.

- **Chat History**:
  - Stored in a local SQLite database managed by the `MemoryStore` entity.
  - Chat sessions, messages, facts, and memory episodes are organized in tables within this database.
  - Memory episodes are compressed automatically to save context tokens when they reach a threshold of 28 messages, with a recent message window of 24.

This ensures that all user data remains local and private, adhering to the project's privacy invariants.",2596,10770,155,gpt-4o-mini,2,false,2,4,The answer is mostly correct but introduces 'memory episodes' which is not mentioned in the gold criteria.
OL01,personal,C,How does Oiloop store user preferences and chat history?,35581,8896,context-os/eval/questions.json;Resources/cores/personal-core.md;Resources/cores/system-control-core.md;context-os/cores/system-control-core.md;Tests/OiloopTests/EpisodicMemoryTests.swift;Tests/OiloopTests/MemoryStoreTests.swift;App/ChatExperienceView.swift;App/GlobalShortcutManager.swift,,"Oiloop stores user preferences and chat history using the following mechanisms:

- **MemoryStore**: Manages an SQLite database located inside Application Support.
- **Database Tables**: Includes tables for sessions, messages, facts, and settings.
- **Local Storage**: Ensures that chat data remains strictly local on localhost.
- **Data Wiping**: User data can be wiped completely via the `wipeAll` method in `UserDataService`.",6505,7920,91,gpt-4o-mini,3,false,2,5,The answer is fully correct and directly addresses the question.
OL02,personal,A,How does Oiloop compress chat history to stay within token limits?,400000,100000,App/AppRootView.swift;App/AppWindowActivation.swift;App/ChatExperienceView.swift;App/ConnectorPreviewSheet.swift;App/ContentView.swift;App/DiagnosticsDashboardView.swift;App/FilePreviewSheet.swift;App/FileWritePreviewSheet.swift;App/FloatingHUDView.swift;App/GestureCalibrationView.swift;App/GlobalShortcutManager.swift;App/GraphCanvasView.swift;App/GraphExplorerView.swift;App/InlineHUDPanel.swift;App/KeyboardMousePreviewSheet.swift;App/LCSDiff.swift;App/LaunchAtLogin.swift;App/LivePreviewPaneView.swift;App/MailDraftPreviewSheet.swift;App/MailInboxPreviewSheet.swift;App/MessagesChatsPreviewSheet.swift;App/MessagesDraftPreviewSheet.swift;App/NotesCreatePreviewSheet.swift;App/NotesListPreviewSheet.swift;App/OiloopApp.swift;App/OnboardingSettings.swift;App/OnboardingView.swift;App/PlanExecutionMonitorView.swift;App/PresenceSettings.swift;App/PreviewGestureShortcuts.swift;App/RemindersCreatePreviewSheet.swift;App/RemindersListPreviewSheet.swift;App/SafariTabPreviewSheet.swift;App/ScreenshotPreviewSheet.swift;App/SettingsView.swift;App/ShellPreviewSheet.swift;App/TerminalPanel.swift;App/UsageAnalyticsDashboardView.swift;App/WritingToolsHUDView.swift;Core/LLM/FIMCompletionClient.swift;Core/LLM/GeminiLLMClient.swift;Core/LLM/LLMClient.swift;Core/LLM/LocalLLMSettings.swift;Core/LLM/MockLLMClient.swift;Core/LLM/OllamaLLMClient.swift;Core/LLM/OpenAILLMClient.swift;Core/Memory/DatabaseSettings.swift;Core/Memory/EpisodeSummarizer.swift;Core/Memory/EpisodicMemoryManager.swift;Core/Memory/LocalEmbeddingsService.swift;Core/Memory/MemoryStore.swift;Core/Memory/Models.swift;Core/Memory/ScreenContextModels.swift;Core/Memory/SemanticIndexManager.swift;Core/Memory/SymbolicParser.swift;Core/Memory/TimelineModels.swift;Core/Memory/UserDataService.swift;Core/Orchestrator/AgentCriticService.swift;Core/Orchestrator/AgentLoopModels.swift;Core/Orchestrator/AgentTaskModels.swift;Core/Orchestrator/ChatOrchestrator.swift (partial),,"Oiloop compresses chat history to stay within token limits by using the following approach:

- **Episodic Memory**: It summarizes chat history into structured memory episodes.
- **Summarization Process**: The summarization includes:
  - **Title**: A short title describing the meeting or chat.
  - **Topics**: A list of comma-separated topics discussed.
  - **Tone**: A single word indicating the tone (e.g., calm, focused).
  - **Summary**: A concise summary of the discussion and outcomes.
- **Action Items**: It also lists action items with assignees if mentioned.
- **Prompt Structure**: The summarization is guided by a structured prompt that instructs the model to be factual and brief, ensuring that the output remains concise and within token limits.

This method allows Oiloop to effectively manage and compress chat history while retaining essential information.",3456,76664,186,gpt-4o-mini,1,false,1,3,The answer captures the essence of compression but lacks specific details from the gold criteria.
OL02,personal,B,How does Oiloop compress chat history to stay within token limits?,26804,6701,context-os/cores/personal-core.md;Core/Memory/EpisodeSummarizer.swift (structure);Core/Orchestrator/ChatOrchestrator.swift (structure),personal-core,"Oiloop compresses chat history using the following method:

- The `maybeCompressHistory` function is called at the end of the `executeCommand` in `ChatOrchestrator`.
- It compresses the oldest messages into `memory_episodes` using the `EpisodeSummarizer`.
- The compression threshold is set to 28 messages, with a recent message window of 24.
- This process helps preserve prompt space for local LLMs.",1483,8468,92,gpt-4o-mini,3,false,2,5,Answer is fully correct and well-reasoned.
OL02,personal,C,How does Oiloop compress chat history to stay within token limits?,35959,8990,context-os/eval/questions.json;Resources/cores/personal-core.md;App/GlobalShortcutManager.swift;docs/COMPANION.md;App/ChatExperienceView.swift;docs/DEVELOPMENT.md;Resources/cores/browsing-core.md;context-os/router/routing-map.json,,"Oiloop compresses chat history to stay within token limits by:

- Calling `maybeCompressHistory` at the end of `executeCommand` in `ChatOrchestrator`.
- Using a compression threshold of 28 messages, with a recent message window of 24.
- Invoking `EpisodeSummarizer` to compress the oldest messages into `memory_episodes`.
- Preserving prompt space for local LLMs.",2114,8462,86,gpt-4o-mini,3,false,2,5,The answer is fully correct and well-reasoned.
OL03,personal,A,Where is the Oiloop assistant's system prompt compiled and built?,400000,100000,App/AppRootView.swift;App/AppWindowActivation.swift;App/ChatExperienceView.swift;App/ConnectorPreviewSheet.swift;App/ContentView.swift;App/DiagnosticsDashboardView.swift;App/FilePreviewSheet.swift;App/FileWritePreviewSheet.swift;App/FloatingHUDView.swift;App/GestureCalibrationView.swift;App/GlobalShortcutManager.swift;App/GraphCanvasView.swift;App/GraphExplorerView.swift;App/InlineHUDPanel.swift;App/KeyboardMousePreviewSheet.swift;App/LCSDiff.swift;App/LaunchAtLogin.swift;App/LivePreviewPaneView.swift;App/MailDraftPreviewSheet.swift;App/MailInboxPreviewSheet.swift;App/MessagesChatsPreviewSheet.swift;App/MessagesDraftPreviewSheet.swift;App/NotesCreatePreviewSheet.swift;App/NotesListPreviewSheet.swift;App/OiloopApp.swift;App/OnboardingSettings.swift;App/OnboardingView.swift;App/PlanExecutionMonitorView.swift;App/PresenceSettings.swift;App/PreviewGestureShortcuts.swift;App/RemindersCreatePreviewSheet.swift;App/RemindersListPreviewSheet.swift;App/SafariTabPreviewSheet.swift;App/ScreenshotPreviewSheet.swift;App/SettingsView.swift;App/ShellPreviewSheet.swift;App/TerminalPanel.swift;App/UsageAnalyticsDashboardView.swift;App/WritingToolsHUDView.swift;Core/LLM/FIMCompletionClient.swift;Core/LLM/GeminiLLMClient.swift;Core/LLM/LLMClient.swift;Core/LLM/LocalLLMSettings.swift;Core/LLM/MockLLMClient.swift;Core/LLM/OllamaLLMClient.swift;Core/LLM/OpenAILLMClient.swift;Core/Memory/DatabaseSettings.swift;Core/Memory/EpisodeSummarizer.swift;Core/Memory/EpisodicMemoryManager.swift;Core/Memory/LocalEmbeddingsService.swift;Core/Memory/MemoryStore.swift;Core/Memory/Models.swift;Core/Memory/ScreenContextModels.swift;Core/Memory/SemanticIndexManager.swift;Core/Memory/SymbolicParser.swift;Core/Memory/TimelineModels.swift;Core/Memory/UserDataService.swift;Core/Orchestrator/AgentCriticService.swift;Core/Orchestrator/AgentLoopModels.swift;Core/Orchestrator/AgentTaskModels.swift;Core/Orchestrator/ChatOrchestrator.swift (partial),,"The Oiloop assistant's system prompt is compiled and built in the `AgentCriticService` class, specifically in the `reviewPlanOrCode` method. This method constructs a system prompt that instructs the assistant to review proposed code modifications, actions, or terminal commands.",2007,76664,56,gpt-4o-mini,0,true,0,1,Incorrectly identifies the location and purpose of the system prompt compilation.
OL03,personal,B,Where is the Oiloop assistant's system prompt compiled and built?,7075,1769,context-os/cores/personal-core.md;Core/Persona/SystemPromptBuilder.swift (structure),personal-core,"The Oiloop assistant's system prompt is compiled and built in the `SystemPromptBuilder` class, specifically through the `build` function.",785,1806,29,gpt-4o-mini,1,false,1,3,Mentions the correct class but lacks details on reading the template and dynamic appending.
OL03,personal,C,Where is the Oiloop assistant's system prompt compiled and built?,56459,14115,context-os/eval/questions.json;Tests/OiloopTests/DailyStandupServiceTests.swift;Core/Persona/SystemPromptBuilder.swift;docs/DEVELOPMENT.md;docs/PRD-DEVELOPER-ASSISTANT-UPGRADE.md;docs/OILOOP-EXPERIMENT-RESULTS.md;Resources/SystemPrompt.txt;Tests/OiloopTests/HybridRoutingTests.swift;README.md;App/OiloopApp.swift;Core/Orchestrator/ChatOrchestrator.swift;context-os/cores/personal-core.md,,"The Oiloop assistant's system prompt is compiled and built in the following manner:

- **File**: `SystemPromptBuilder.swift` compiles the base prompt.
- **Template**: Reads `SystemPrompt.txt` template from the application bundle.
- **Dynamic Content**: Appends recent memory episodes and user facts dynamically.
- **Context Instructions**: Filters and attaches active Context Core instructions if routing is enabled.",1878,13330,85,gpt-4o-mini,3,false,2,5,The answer is fully correct and matches the gold criteria perfectly.
OL04,personal,A,What are the tone presets supported by Oiloop and where are they defined?,400000,100000,App/AppRootView.swift;App/AppWindowActivation.swift;App/ChatExperienceView.swift;App/ConnectorPreviewSheet.swift;App/ContentView.swift;App/DiagnosticsDashboardView.swift;App/FilePreviewSheet.swift;App/FileWritePreviewSheet.swift;App/FloatingHUDView.swift;App/GestureCalibrationView.swift;App/GlobalShortcutManager.swift;App/GraphCanvasView.swift;App/GraphExplorerView.swift;App/InlineHUDPanel.swift;App/KeyboardMousePreviewSheet.swift;App/LCSDiff.swift;App/LaunchAtLogin.swift;App/LivePreviewPaneView.swift;App/MailDraftPreviewSheet.swift;App/MailInboxPreviewSheet.swift;App/MessagesChatsPreviewSheet.swift;App/MessagesDraftPreviewSheet.swift;App/NotesCreatePreviewSheet.swift;App/NotesListPreviewSheet.swift;App/OiloopApp.swift;App/OnboardingSettings.swift;App/OnboardingView.swift;App/PlanExecutionMonitorView.swift;App/PresenceSettings.swift;App/PreviewGestureShortcuts.swift;App/RemindersCreatePreviewSheet.swift;App/RemindersListPreviewSheet.swift;App/SafariTabPreviewSheet.swift;App/ScreenshotPreviewSheet.swift;App/SettingsView.swift;App/ShellPreviewSheet.swift;App/TerminalPanel.swift;App/UsageAnalyticsDashboardView.swift;App/WritingToolsHUDView.swift;Core/LLM/FIMCompletionClient.swift;Core/LLM/GeminiLLMClient.swift;Core/LLM/LLMClient.swift;Core/LLM/LocalLLMSettings.swift;Core/LLM/MockLLMClient.swift;Core/LLM/OllamaLLMClient.swift;Core/LLM/OpenAILLMClient.swift;Core/Memory/DatabaseSettings.swift;Core/Memory/EpisodeSummarizer.swift;Core/Memory/EpisodicMemoryManager.swift;Core/Memory/LocalEmbeddingsService.swift;Core/Memory/MemoryStore.swift;Core/Memory/Models.swift;Core/Memory/ScreenContextModels.swift;Core/Memory/SemanticIndexManager.swift;Core/Memory/SymbolicParser.swift;Core/Memory/TimelineModels.swift;Core/Memory/UserDataService.swift;Core/Orchestrator/AgentCriticService.swift;Core/Orchestrator/AgentLoopModels.swift;Core/Orchestrator/AgentTaskModels.swift;Core/Orchestrator/ChatOrchestrator.swift (partial),,"The tone presets supported by Oiloop are defined in the `TonePreset` enum. However, the specific values of the tone presets are not provided in the context. To find the exact tone presets, the definition of the `TonePreset` enum would need to be referenced in the codebase.",1736,76666,60,gpt-4o-mini,1,false,1,3,The answer identifies the enum but lacks specific values and context.
