question_id,domain,condition,question,context_chars,tokens_in_context_est,context_files,cores_used,answer,latency_ms,tokens_in,tokens_out,model,accuracy,hallucination,completeness,reasoning,judge_notes,routed_cores,router_mode
OL07,workspace,B,How does Oiloop enforce 'don't touch' rules?,45738,11435,context-os/cores/workspace-core.md;Core/Proactive/UserRuleParser.swift (structure);context-os/cores/personal-core.md;Core/Memory/MemoryStore.swift (structure);Core/Persona/PersonaSettings.swift (structure);Core/Persona/SystemPromptBuilder.swift (structure);Core/Voice/VoiceService.swift (structure);Core/Proactive/DeveloperProactiveMonitor.swift (structure);Core/Memory/UserDataService.swift (structure);Core/Memory/EpisodeSummarizer.swift (structure);Core/Orchestrator/ChatOrchestrator.swift (structure),workspace-core;personal-core,"Oiloop enforces 'don't touch' rules through the following chain of processes:

- **UserRuleParser**: Parses natural language rules into SQLite `user_rules` with a specific kind (`dontTouch`).
- **RuleEnforcer**: 
  - Contains static methods (`shouldSkipFile`, `shouldSkipMail`, `shouldSkipMessage`) to determine if a file, mail, or message should be skipped based on the parsed rules.
- **FileOrganizer**: 
  - Calls `RuleEnforcer.shouldSkipFile` to skip matching paths before proposing file moves.
- **MailService / MessagesService**: 
  - Filters messages using `shouldSkipMail` and `shouldSkipMessage` to avoid processing those that match the rules.
- **FilePreviewSheet**: 
  - Requires user confirmation (Apply / Cancel) for any proposed file moves, ensuring no silent moves occur.
- **ScheduledDigestBuilder**: 
  - Includes a section in routine digests that lists active `dontTouch` rule patterns, keeping users informed.

This enforcement chain ensures that files or messages that match the 'don't touch' criteria are not moved or processed without explicit user consent.",3720,13955,239,gpt-4o-mini,3,false,2,5,The answer accurately covers all aspects of the gold criteria with clear reasoning.,workspace-core;personal-core,gold
OL07,workspace,C,How does Oiloop enforce 'don't touch' rules?,27454,6864,Tests/OiloopTests/UserRuleParserTests.swift;Core/Proactive/UserRuleParser.swift;Resources/cores/workspace-core.md;context-os/cores/workspace-core.md;App/GlobalShortcutManager.swift;docs/PROACTIVITY.md;Tests/OiloopTests/HybridRoutingTests.swift;Tests/OiloopTests/MemoryStoreTests.swift,,"Oiloop enforces 'don't touch' rules through the following process:

- **UserRuleParser**: Parses natural language rules into SQLite `user_rules` with the kind set to `dontTouch`.
- **RuleEnforcer**: Contains static methods (`shouldSkipFile`, `shouldSkipMail`, `shouldSkipMessage`) that check if a file, email, or message should be skipped based on the defined rules.
- **FileOrganizer**: Calls `RuleEnforcer.shouldSkipFile` to skip proposing moves for files that match the 'don't touch' rules.
- **MailService / MessagesService**: Uses `shouldSkipMail` and `shouldSkipMessage` to filter out emails and messages that match the rules.
- **FilePreviewSheet**: Requires user confirmation for any proposed file moves, ensuring no silent moves occur.
- **ScheduledDigestBuilder**: Includes a section in routine digests that lists active 'don't touch' rule patterns.

This enforcement chain ensures that files matching the 'don't touch' criteria are not moved or processed without explicit user consent.",2798,6278,216,gpt-4o-mini,3,false,2,5,The answer accurately covers all aspects of the gold criteria with clear reasoning.,,
OL07,workspace,D,How does Oiloop enforce 'don't touch' rules?,60774,15194,context-os/cores/workspace-core.md;Core/Proactive/UserRuleParser.swift (structure);context-os/cores/personal-core.md;Core/Memory/MemoryStore.swift (structure);Core/Persona/PersonaSettings.swift (structure);Core/Persona/SystemPromptBuilder.swift (structure);Core/Voice/VoiceService.swift (structure);Core/Proactive/DeveloperProactiveMonitor.swift (structure);Core/Memory/UserDataService.swift (structure);Core/Memory/EpisodeSummarizer.swift (structure);Core/Orchestrator/ChatOrchestrator.swift (structure);graph:Tests/OiloopTests/UserRuleParserTests.swift;graph:Core/Proactive/UserRuleParser.swift;graph:Resources/cores/workspace-core.md;graph:context-os/cores/workspace-core.md;graph:App/GlobalShortcutManager.swift (partial),workspace-core;personal-core,"Oiloop enforces 'don't touch' rules through the following chain of operations:

- **UserRuleParser**: Parses natural language rules into SQLite `user_rules` with a specific kind of `dontTouch`.
- **RuleEnforcer**: 
  - Contains static methods (`shouldSkipFile`, `shouldSkipMail`, `shouldSkipMessage`) that check if a file, email, or message matches any `dontTouch` rules.
- **FileOrganizer**: 
  - Calls `RuleEnforcer.shouldSkipFile` to skip proposing moves for files that match the `dontTouch` rules.
- **MailService / MessagesService**: 
  - Filters incoming emails and messages using `shouldSkipMail` and `shouldSkipMessage` to avoid processing those that match `dontTouch` rules.
- **FilePreviewSheet**: 
  - Requires user confirmation for any proposed file moves, ensuring no silent moves occur.
- **ScheduledDigestBuilder**: 
  - Includes a section in routine digests that lists active `dontTouch` rule patterns, keeping users informed.

This enforcement chain ensures that files or messages that match the specified rules are not moved or processed without explicit user consent.",5082,17365,242,gpt-4o-mini,3,false,2,5,Answer accurately covers all aspects of the gold criteria with clear reasoning.,workspace-core;personal-core,gold
OL09,communication,B,How does Oiloop read inbox headers from Apple Mail?,26130,6533,context-os/cores/communication-core.md;Core/Orchestrator/MailService.swift (structure);Tools/MailTools/CustomMailReader.swift (structure);Core/Orchestrator/MessagesService.swift (structure);Core/Routine/RoutineConnectorService.swift (structure);Tools/MailTools/MailReader.swift (structure);context-os/cores/system-control-core.md;Tools/RemindersTools/RemindersReader.swift (structure),communication-core;system-control-core,"Oiloop reads inbox headers from Apple Mail using the following process:

- **MailService**: Coordinates the automation.
- **MailReader**: Executes JXA/AppleScript scripting to read recent inbox headers.
- **System Settings Automation Permission**: Requires permission for Mail to function.
- **Toggle Option**: The feature is bypassed if ""Use Apple Mail"" is toggled off in Settings.",1343,7800,82,gpt-4o-mini,3,false,2,5,The answer accurately reflects the gold criteria with no gaps or inaccuracies.,communication-core;system-control-core,gold
OL09,communication,C,How does Oiloop read inbox headers from Apple Mail?,36877,9220,Core/Orchestrator/MailService.swift;Resources/cores/communication-core.md;context-os/cores/communication-core.md;Tools/MailTools/MailReader.swift;Tools/MailTools/MailModels.swift;docs/DEVELOPMENT.md;docs/PRIVACY.md;docs/ROUTINE-AUTOMATION.md,,"Oiloop reads inbox headers from Apple Mail using the following process:

- The `MailService` class utilizes the `MailReader` to execute JXA/AppleScript scripting.
- The `MailReader` fetches recent inbox headers by running a JavaScript function that interacts with the Mail application.
- It retrieves messages from the inbox, limiting the number of messages fetched based on user settings.
- The fetched messages are then processed and returned as `MailMessageSummary` objects.

This process requires System Settings Automation permission for Mail and can be bypassed if ""Use Apple Mail"" is toggled off in the settings.",4799,9012,124,gpt-4o-mini,2,false,2,4,The answer is mostly correct but has minor gaps regarding the specifics of the MailReader's interaction with AppleScript.,,
OL09,communication,D,How does Oiloop read inbox headers from Apple Mail?,41166,10292,context-os/cores/communication-core.md;Core/Orchestrator/MailService.swift (structure);Tools/MailTools/CustomMailReader.swift (structure);Core/Orchestrator/MessagesService.swift (structure);Core/Routine/RoutineConnectorService.swift (structure);Tools/MailTools/MailReader.swift (structure);context-os/cores/system-control-core.md;Tools/RemindersTools/RemindersReader.swift (structure);graph:Core/Orchestrator/MailService.swift;graph:Resources/cores/communication-core.md;graph:context-os/cores/communication-core.md;graph:Tools/MailTools/MailReader.swift (partial),communication-core;system-control-core,"Oiloop reads inbox headers from Apple Mail using the following process:

- **MailService**: Utilizes the `MailReader` to execute JXA/AppleScript scripting.
- **MailReader**: 
  - Fetches recent inbox messages by running a JavaScript function that interacts with the Mail application.
  - The function retrieves messages from the inbox, limits the number of messages fetched, and extracts details such as ID, subject, sender, and a snippet of the message body.
- **Permissions**: Requires System Settings Automation permission for Mail, and this functionality is bypassed if ""Use Apple Mail"" is toggled off in Settings.",3181,11290,131,gpt-4o-mini,2,false,2,4,The answer is mostly correct but has minor gaps in detailing the use of AppleScript/JXA as a wrapper.,communication-core;system-control-core,gold
OL12,communication,B,Why can Oiloop not directly send Apple Messages via an API?,26130,6533,context-os/cores/communication-core.md;Core/Orchestrator/MailService.swift (structure);Tools/MailTools/CustomMailReader.swift (structure);Core/Orchestrator/MessagesService.swift (structure);Core/Routine/RoutineConnectorService.swift (structure);Tools/MailTools/MailReader.swift (structure);context-os/cores/system-control-core.md;Tools/RemindersTools/RemindersReader.swift (structure),communication-core;system-control-core,"Oiloop cannot directly send Apple Messages via an API due to the following reason:

- **Lack of Public API**: There is no public API available for background silent sends of iMessages on macOS, which restricts automated sending without user interaction.",1209,7802,52,gpt-4o-mini,2,false,1,3,The answer correctly identifies the lack of a public API but misses details about how Oiloop stages drafts and the manual sending process.,communication-core;system-control-core,gold
OL12,communication,C,Why can Oiloop not directly send Apple Messages via an API?,30970,7743,docs/PRIVACY.md;docs/RELEASE.md;Resources/cores/communication-core.md;context-os/cores/communication-core.md;App/AppWindowActivation.swift;Tools/MailTools/MailModels.swift;Tools/MessagesTools/MessagesModels.swift;docs/DEVELOPMENT.md,,"Oiloop cannot directly send Apple Messages via an API due to the following reason:

- **Sandboxing restrictions on macOS** prevent direct API insertion of sent iMessages, requiring Oiloop to stage drafts on the system pasteboard/clipboard instead.",1840,7615,51,gpt-4o-mini,2,false,1,3,The answer identifies a major reason but misses details about opening the Messages app and the manual send requirement.,,
OL12,communication,D,Why can Oiloop not directly send Apple Messages via an API?,41166,10292,context-os/cores/communication-core.md;Core/Orchestrator/MailService.swift (structure);Tools/MailTools/CustomMailReader.swift (structure);Core/Orchestrator/MessagesService.swift (structure);Core/Routine/RoutineConnectorService.swift (structure);Tools/MailTools/MailReader.swift (structure);context-os/cores/system-control-core.md;Tools/RemindersTools/RemindersReader.swift (structure);graph:docs/PRIVACY.md;graph:docs/RELEASE.md;graph:Resources/cores/communication-core.md;graph:context-os/cores/communication-core.md;graph:App/AppWindowActivation.swift (partial),communication-core;system-control-core,Oiloop cannot directly send Apple Messages via an API due to the lack of a public API for background silent sends on macOS. This limitation necessitates that Oiloop stages drafts on the system pasteboard/clipboard and requires user interaction to manually paste and send the message.,4949,11395,56,gpt-4o-mini,3,false,2,5,The answer accurately covers all key points from the gold criteria.,communication-core;system-control-core,gold
OL13,systemControl,B,How does Oiloop safely run terminal shell commands?,47081,11771,context-os/cores/system-control-core.md;Tools/RemindersTools/RemindersReader.swift (structure);Core/Spatial/GestureEngine.swift (structure);Tools/ScreenshotTools/ScreenshotCapturer.swift (structure);Core/Spatial/InputFusion.swift (structure);context-os/cores/personal-core.md;Core/Memory/MemoryStore.swift (structure);Core/Persona/PersonaSettings.swift (structure);Core/Persona/SystemPromptBuilder.swift (structure);Core/Voice/VoiceService.swift (structure);Core/Proactive/DeveloperProactiveMonitor.swift (structure);Core/Memory/UserDataService.swift (structure);Core/Memory/EpisodeSummarizer.swift (structure);Core/Orchestrator/ChatOrchestrator.swift (structure),system-control-core;personal-core,"Oiloop safely runs terminal shell commands through the following mechanisms:

- **Shell Execution Validation**: 
  - Utilizes `ShellExecutor` to spawn a `/bin/zsh` subprocess.
  - Requires explicit user confirmation in `ShellPreviewSheet` before execution.
  - Limits commands to user-level execution privileges.

- **Logging**: 
  - Logs all executed commands in an SQLite `audit_log` under the `shell_exec` action.

These measures ensure that commands are validated, confirmed by the user, and logged for accountability.",1816,14402,109,gpt-4o-mini,3,false,2,5,Answer fully aligns with gold criteria and explains mechanisms clearly.,system-control-core;personal-core,gold
