question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b,accuracy_c,accuracy_delta_c_vs_a,accuracy_delta_c_vs_b,hallucination_c,latency_c,tokens_in_c,context_chars_c,ccr_context_chars_c,ccr_tokens_est_c
NV01,1,1,0,false,false,2352,3080,27626,2896,89218,9870,9.039311043566363,9.037682333873581,0,-1,-1,false,1277,8242,31209,2.8587266493639656,2.8585159554017685
NV02,0,1,1,true,true,1477,1579,27626,2158,89218,7145,12.486773967809658,12.481813094571908,1,1,0,true,3244,14027,52789,1.690086949932751,1.6900287922412487
NV03,1,1,0,false,true,3904,3385,27628,2266,89218,8246,10.819548872180452,10.817167798254122,0,-1,-1,false,1130,14174,57704,1.546131983917926,1.5461666435602384
NV04,1,2,1,false,false,4435,3919,27630,2555,89218,9102,9.802021533728851,9.800087873462214,2,1,0,false,4752,12366,49438,1.8046442008171852,1.8046116504854368
NV05,2,2,0,false,false,3102,2972,27626,1805,89218,6123,14.570961946758125,14.568909209666884,2,0,0,false,4347,12481,51005,1.7492010587197333,1.7491373902132998
NV06,0,1,1,false,false,920,757,27625,1461,89218,5261,16.95837293290249,16.949088145896656,1,1,0,false,1085,16167,64496,1.3833105929049863,1.383341602580005
NV07,1,2,1,true,false,1790,4434,27630,2562,89218,8182,10.904179907113175,10.90175953079179,1,0,-1,false,2235,15044,54127,1.6483086075341327,1.6483151049364468
NV08,1,1,0,false,false,3750,1138,27629,1277,89218,4022,22.182496270512182,22.17196819085487,1,0,0,false,4667,13205,46407,1.9225116900467603,1.9225133597655577
NV09,1,1,0,false,false,799,842,27627,2186,89218,7296,12.228344298245615,12.228618421052632,1,0,0,false,1605,14134,55692,1.6019895137542197,1.6020254255548374
NV10,1,2,1,false,true,4554,3510,27625,2000,89218,6747,13.223358529716911,13.221695317131001,1,0,-1,false,3471,9097,35430,2.5181484617555743,2.5180627681192145
NV11,1,0,-1,true,false,2345,1087,27626,2001,89218,6747,13.223358529716911,13.221695317131001,0,-1,0,false,1511,14705,58267,1.5311926133145692,1.531200659023821
NV12,1,2,1,false,false,2300,2484,27625,1887,89218,6566,13.587876941821504,13.584043848964678,2,1,0,false,14837,13958,57792,1.5437776854928018,1.543812292358804
NV13,0,1,1,true,true,5757,2653,27624,1750,89218,5754,15.505387556482447,15.50034746351633,1,1,0,false,4549,8714,35024,2.547338967565098,2.547396071265418
NV14,1,1,0,false,false,1789,945,27627,758,89218,2356,37.86842105263158,37.869269949066215,1,0,0,false,7651,13025,47291,1.8865746125055507,1.8865770109109363
NV15,1,3,2,true,false,2734,1711,27626,1752,89218,5754,15.505387556482447,15.50034746351633,3,2,0,false,2669,9384,36318,2.4565780053967727,2.4564977973568283
NV16,1,3,2,false,false,4627,4680,27624,2070,89218,7115,12.539423752635278,12.537942664418212,1,0,-2,false,13822,12915,53465,1.6687178528008977,1.6686616293858008
NV17,1,2,1,false,false,5109,5809,27627,2073,89218,7115,12.539423752635278,12.537942664418212,1,0,-1,false,13158,8161,31301,2.8503242707900704,2.850115001277792
NV18,1,2,1,false,false,2557,1308,27629,986,89218,3274,27.25045815516188,27.234432234432234,2,1,0,false,4726,12007,47777,1.8673838876446827,1.8673084972791962
NV19,2,0,-2,false,false,4001,1079,27625,1816,89218,6190,14.413247172859451,14.40891472868217,1,-1,1,false,4250,9961,39080,2.2829580348004095,2.2830092118730807
NV20,0,0,0,false,false,1916,1318,27628,2560,89218,8182,10.904179907113175,10.90175953079179,0,0,0,false,14214,18116,72043,1.2383992893133267,1.2384098606407195
NV21,1,1,0,false,false,1632,1594,27625,2557,89218,8182,10.904179907113175,10.90175953079179,0,-1,-1,false,1785,15257,58700,1.5198977853492335,1.5199318568994888
NV22,0,1,1,false,false,1959,6577,27624,3358,89218,11167,7.989433151249217,7.988896848137536,0,0,-1,false,1922,12177,50637,1.7619132255070402,1.7618483412322274
NV23,1,0,-1,true,false,3813,2003,27628,2560,89218,8182,10.904179907113175,10.90175953079179,1,0,1,false,14969,8429,32267,2.7649920971890785,2.7649683897359614
